idindikator;IDTer;nTer;mes;god;IDISCEDF;nISCEDF;vrednost
1104010103IND01;RS11;Београдски регион;00;2017;07;Инжењерство, производња и грађевинарство;18352
1104010103IND01;RS11;Београдски регион;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;3098
1104010103IND01;RS11;Београдски регион;00;2017;09;Здравство и социјална помоћ;4709
1104010103IND01;RS11;Београдски регион;00;2017;10;Услуге;11539
1104010103IND01;RS12;Регион Војводине;00;2017;0;Укупно;43620
1104010103IND01;RS12;Регион Војводине;00;2017;00;Генерички програми и квалификације;0
1104010103IND01;RS12;Регион Војводине;00;2017;01;Образовање;4041
1104010103IND01;RS12;Регион Војводине;00;2017;02;Уметности и хуманистичке науке;4017
1104010103IND01;RS12;Регион Војводине;00;2017;03;Друштвене науке, новинарство и информисање;4239
1104010103IND01;RS12;Регион Војводине;00;2017;04;Пословање, администрација и право;7212
1104010103IND01;RS12;Регион Војводине;00;2017;05;Природне науке, математика и статистика;4728
1104010103IND01;RS12;Регион Војводине;00;2017;06;Информационе и комуникационе технологије (ИКТ);5163
1104010103IND01;RS12;Регион Војводине;00;2017;07;Инжењерство, производња и грађевинарство;8742
1104010103IND01;RS12;Регион Војводине;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;1820
1104010103IND01;RS12;Регион Војводине;00;2017;09;Здравство и социјална помоћ;1373
1104010103IND01;RS12;Регион Војводине;00;2017;10;Услуге;2285
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2017;0;Укупно;42387
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2017;00;Генерички програми и квалификације;0
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2017;01;Образовање;3351
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2017;02;Уметности и хуманистичке науке;2968
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2017;03;Друштвене науке, новинарство и информисање;3265
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2017;04;Пословање, администрација и право;10786
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2017;05;Природне науке, математика и статистика;2170
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2017;06;Информационе и комуникационе технологије (ИКТ);3684
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2017;07;Инжењерство, производња и грађевинарство;9225
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;841
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2017;09;Здравство и социјална помоћ;2318
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2017;10;Услуге;3779
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2017;0;Укупно;21441
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2017;00;Генерички програми и квалификације;0
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2017;01;Образовање;2352
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2017;02;Уметности и хуманистичке науке;1830
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2017;03;Друштвене науке, новинарство и информисање;1879
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2017;04;Пословање, администрација и право;4567
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2017;05;Природне науке, математика и статистика;1257
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2017;06;Информационе и комуникационе технологије (ИКТ);2513
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2017;07;Инжењерство, производња и грађевинарство;3466
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;450
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2017;09;Здравство и социјална помоћ;1773
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2017;10;Услуге;1354
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2017;0;Укупно;20946
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2017;00;Генерички програми и квалификације;0
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2017;01;Образовање;999
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2017;02;Уметности и хуманистичке науке;1138
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2017;03;Друштвене науке, новинарство и информисање;1386
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2017;04;Пословање, администрација и право;6219
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2017;05;Природне науке, математика и статистика;913
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2017;06;Информационе и комуникационе технологије (ИКТ);1171
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2017;07;Инжењерство, производња и грађевинарство;5759
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;391
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2017;09;Здравство и социјална помоћ;545
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2017;10;Услуге;2425
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2017;0;Укупно;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2017;00;Генерички програми и квалификације;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2017;01;Образовање;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2017;02;Уметности и хуманистичке науке;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2017;03;Друштвене науке, новинарство и информисање;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2017;04;Пословање, администрација и право;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2017;05;Природне науке, математика и статистика;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2017;06;Информационе и комуникационе технологије (ИКТ);
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2017;07;Инжењерство, производња и грађевинарство;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2017;09;Здравство и социјална помоћ;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2017;10;Услуге;
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2018;0;Укупно;191005
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2018;00;Генерички програми и квалификације;0
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2018;01;Образовање;12235
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2018;02;Уметности и хуманистичке науке;21279
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2018;03;Друштвене науке, новинарство и информисање;23252
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2018;04;Пословање, администрација и право;34702
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2018;05;Природне науке, математика и статистика;12842
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2018;06;Информационе и комуникационе технологије (ИКТ);19912
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2018;07;Инжењерство, производња и грађевинарство;35938
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2018;08;Пољопривреда, шумарство, рибарство и ветерина;5349
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2018;09;Здравство и социјална помоћ;8093
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2018;10;Услуге;17403
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2018;0;Укупно;150217
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2018;00;Генерички програми и квалификације;0
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2018;01;Образовање;9090
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2018;02;Уметности и хуманистичке науке;18363
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2018;03;Друштвене науке, новинарство и информисање;20286
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2018;04;Пословање, администрација и право;24523
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2018;05;Природне науке, математика и статистика;10789
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2018;06;Информационе и комуникационе технологије (ИКТ);15930
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2018;07;Инжењерство, производња и грађевинарство;27417
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2018;08;Пољопривреда, шумарство, рибарство и ветерина;4593
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2018;09;Здравство и социјална помоћ;5787
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2018;10;Услуге;13439
1104010103IND01;RS11;Београдски регион;00;2018;0;Укупно;107717
1104010103IND01;RS11;Београдски регион;00;2018;00;Генерички програми и квалификације;0
1104010103IND01;RS11;Београдски регион;00;2018;01;Образовање;5171
1104010103IND01;RS11;Београдски регион;00;2018;02;Уметности и хуманистичке науке;14626
1104010103IND01;RS11;Београдски регион;00;2018;03;Друштвене науке, новинарство и информисање;16064
1104010103IND01;RS11;Београдски регион;00;2018;04;Пословање, администрација и право;18208
1104010103IND01;RS11;Београдски регион;00;2018;05;Природне науке, математика и статистика;5824
1104010103IND01;RS11;Београдски регион;00;2018;06;Информационе и комуникационе технологије (ИКТ);10408
1104010103IND01;RS11;Београдски регион;00;2018;07;Инжењерство, производња и грађевинарство;18577
1104010103IND01;RS11;Београдски регион;00;2018;08;Пољопривреда, шумарство, рибарство и ветерина;3049
1104010103IND01;RS11;Београдски регион;00;2018;09;Здравство и социјална помоћ;4523
1104010103IND01;RS11;Београдски регион;00;2018;10;Услуге;11267
1104010103IND01;RS12;Регион Војводине;00;2018;0;Укупно;42500
1104010103IND01;RS12;Регион Војводине;00;2018;00;Генерички програми и квалификације;0
1104010103IND01;RS12;Регион Војводине;00;2018;01;Образовање;3919
1104010103IND01;RS12;Регион Војводине;00;2018;02;Уметности и хуманистичке науке;3737
1104010103IND01;RS12;Регион Војводине;00;2018;03;Друштвене науке, новинарство и информисање;4222
1104010103IND01;RS12;Регион Војводине;00;2018;04;Пословање, администрација и право;6315
1104010103IND01;RS12;Регион Војводине;00;2018;05;Природне науке, математика и статистика;4965
1104010103IND01;RS12;Регион Војводине;00;2018;06;Информационе и комуникационе технологије (ИКТ);5522
1104010103IND01;RS12;Регион Војводине;00;2018;07;Инжењерство, производња и грађевинарство;8840
1104010103IND01;RS12;Регион Војводине;00;2018;08;Пољопривреда, шумарство, рибарство и ветерина;1544
1104010103IND01;RS12;Регион Војводине;00;2018;09;Здравство и социјална помоћ;1264
1104010103IND01;RS12;Регион Војводине;00;2018;10;Услуге;2172
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2018;0;Укупно;40788
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2018;00;Генерички програми и квалификације;0
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2018;01;Образовање;3145
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2018;02;Уметности и хуманистичке науке;2916
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2018;03;Друштвене науке, новинарство и информисање;2966
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2018;04;Пословање, администрација и право;10179
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2018;05;Природне науке, математика и статистика;2053
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2018;06;Информационе и комуникационе технологије (ИКТ);3982
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2018;07;Инжењерство, производња и грађевинарство;8521
