idindikator;IDTer;nTer;mes;god;IDISCEDF;nISCEDF;vrednost
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;3
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2017;09;Здравство и социјална помоћ;6
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2017;10;Услуге;0
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2017;0;Укупно;109
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2017;00;Генерички програми и квалификације;0
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2017;01;Образовање;0
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2017;02;Уметности и хуманистичке науке;13
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2017;03;Друштвене науке, новинарство и информисање;7
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2017;04;Пословање, администрација и право;53
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2017;05;Природне науке, математика и статистика;16
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2017;06;Информационе и комуникационе технологије (ИКТ);1
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2017;07;Инжењерство, производња и грађевинарство;11
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;0
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2017;09;Здравство и социјална помоћ;0
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2017;10;Услуге;8
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2017;0;Укупно;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2017;00;Генерички програми и квалификације;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2017;01;Образовање;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2017;02;Уметности и хуманистичке науке;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2017;03;Друштвене науке, новинарство и информисање;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2017;04;Пословање, администрација и право;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2017;05;Природне науке, математика и статистика;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2017;06;Информационе и комуникационе технологије (ИКТ);
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2017;07;Инжењерство, производња и грађевинарство;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2017;09;Здравство и социјална помоћ;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2017;10;Услуге;
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2019;0;Укупно;593
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2019;00;Генерички програми и квалификације;0
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2019;01;Образовање;11
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2019;02;Уметности и хуманистичке науке;48
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2019;03;Друштвене науке, новинарство и информисање;45
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2019;04;Пословање, администрација и право;153
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2019;05;Природне науке, математика и статистика;66
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2019;06;Информационе и комуникационе технологије (ИКТ);9
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2019;07;Инжењерство, производња и грађевинарство;57
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2019;08;Пољопривреда, шумарство, рибарство и ветерина;11
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2019;09;Здравство и социјална помоћ;173
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2019;10;Услуге;20
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2019;0;Укупно;292
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2019;00;Генерички програми и квалификације;0
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2019;01;Образовање;8
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2019;02;Уметности и хуманистичке науке;45
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2019;03;Друштвене науке, новинарство и информисање;8
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2019;04;Пословање, администрација и право;52
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2019;05;Природне науке, математика и статистика;48
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2019;06;Информационе и комуникационе технологије (ИКТ);7
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2019;07;Инжењерство, производња и грађевинарство;32
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2019;08;Пољопривреда, шумарство, рибарство и ветерина;11
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2019;09;Здравство и социјална помоћ;72
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2019;10;Услуге;9
1104020402IND01;RS11;Београдски регион;00;2019;0;Укупно;248
1104020402IND01;RS11;Београдски регион;00;2019;00;Генерички програми и квалификације;0
1104020402IND01;RS11;Београдски регион;00;2019;01;Образовање;4
1104020402IND01;RS11;Београдски регион;00;2019;02;Уметности и хуманистичке науке;43
1104020402IND01;RS11;Београдски регион;00;2019;03;Друштвене науке, новинарство и информисање;7
1104020402IND01;RS11;Београдски регион;00;2019;04;Пословање, администрација и право;43
