idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2007;1;Мушко;8879
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2007;2;Женско;10535
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2008;0;Укупно;22251
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2008;1;Мушко;9905
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2008;2;Женско;12346
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2017;0;Укупно;21441
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2017;1;Мушко;8564
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2017;2;Женско;12877
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2015;0;Укупно;22522
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2015;1;Мушко;9570
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2015;2;Женско;12952
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2016;0;Укупно;22830
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2016;1;Мушко;9348
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2016;2;Женско;13482
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2013;0;Укупно;24906
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2013;1;Мушко;10581
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2013;2;Женско;14325
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2014;0;Укупно;24507
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2014;1;Мушко;10256
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2014;2;Женско;14251
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2011;0;Укупно;24994
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2011;1;Мушко;10574
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2011;2;Женско;14420
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2012;0;Укупно;25284
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2012;1;Мушко;10732
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2012;2;Женско;14552
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2009;0;Укупно;22357
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2009;1;Мушко;9827
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2009;2;Женско;12530
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2010;0;Укупно;24156
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2010;1;Мушко;10504
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2010;2;Женско;13652
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2007;0;Укупно;14649
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2007;1;Мушко;7313
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2007;2;Женско;7336
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2008;0;Укупно;17578
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2008;1;Мушко;8664
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2008;2;Женско;8914
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2017;0;Укупно;20946
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2017;1;Мушко;9993
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2017;2;Женско;10953
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2015;0;Укупно;23047
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2015;1;Мушко;11061
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2015;2;Женско;11986
